titulo;precio;ubicacion;descripcion;url;litros_detectados;ala_detectada;cumple_criterios;fecha_publicacion;envio;estado;imagen
Tabla Wing foil Gong FSP;380.0;Alicante/Alacant, 03009;Tabla de wingfoil, foil sup de la marca Gong Zuma foil ,especial principiantes 6'9 de largo y 130L mucha flotabilidad y 9kg de peso ,funda incluida Medidas ultima foto.;https://es.wallapop.com/item/tabla-wingfoil-gong-1242477088;[130];[];False;2026-06-15;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kj/ql/__/c10420p1242477088/i6371507682.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/ql/__/c10420p1242477088/i6371507709.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/ql/__/c10420p1242477088/i6371507740.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/ql/__/c10420p1242477088/i6371507782.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/ql/__/c10420p1242477088/i6371507813.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/ql/__/c10420p1242477088/i6371507832.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/ql/__/c10420p1242477088/i6372426593.jpg?pictureSize=W640
leash tabla wingfoil de tobillo creatures;47.9;La Manga del Mar Menor, 30380;ligero y resistente;https://es.wallapop.com/item/leash-tabla-wingfoil-de-tobillo-creatures-869499145;[];[];False;2026-03-23;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/ed/od/__/c10420p869499145/i3107879174.jpg?pictureSize=W640
Botavara Windsurf Olas;85.0;Fuengirola, 29640;"Botavara aluminio olas diámetro reducido RRD. Ver medidas en la foto. Incluye cabos de arnés.
Palabras clave wingfoil Neil pride naish dakine oneill hurley gaastra quicksilver reedin north duotone fanatic goya vela sails wave";https://es.wallapop.com/item/botavara-windsurf-olas-1266922943;[];[];False;2026-07-06;Envío disponible;Reservado;https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195192.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195222.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195296.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195334.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195365.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195409.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195453.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/aj/__/c10420p1266922943/i6525195498.jpg?pictureSize=W640
Tabla WingFoil Sunova Horus con footstraps.;360.0;Argentona, 08310;"Tabla de wingfoil Sunova Horus 
Diseñado para maxima estabilidad y comodidad además de fácil planeo.
Gran tabla para iniciar en volúmenes más exigentes.

- Superficie antideslizante.";https://es.wallapop.com/item/tabla-wingfoil-sunova-horus-con-footstraps-1277257869;[];[];False;2026-06-30;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/l4/g2/__/c10420p1277257869/i6587643824.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l4/g2/__/c10420p1277257869/i6587643845.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l4/g2/__/c10420p1277257869/i6587643866.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l4/g2/__/c10420p1277257869/i6587643854.jpg?pictureSize=W640
Tabla wingfoil north 58L;350.0;Tejina, 38260;"tabla wingfoil north en muy buen estado, sin toques ni reparaciones.
medidas 4’8 x 23 x 3 9/16 58L";https://es.wallapop.com/item/tabla-wingfoil-north-58l-1041597504;[58];[];False;2026-07-06;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/h8/51/__/c10420p1041597504/i5086111970.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/h8/51/__/c10420p1041597504/i5086112010.jpg?pictureSize=W640
Tabla SurfKite AIRUSH AMP TEAM 5''4 REFLEX C Nueva;495.0;Castelldefels, 08860;"Tabla de surfkite Airush Amp V5 en color gris con diseño abstracto.
Material de exposición, nunca usado. En perfecto estado.

- Medidas: 5'4 x 18.75
- Volumen: 23.9L

Somos PopKite, una tienda especializada en material de Surf, Kite, Windsurf y Wingfoil. Con mas de 20 años de experiencia, brindamos asesoramiento técnico personalizado a riders de todos los niveles y ofrecemos siempre productos de la mejor calidad.
Contáctanos ante cualquier duda, estaremos encantados de ayudarte.";https://es.wallapop.com/item/tabla-surfkite-airush-amp-v5-5-4-1226628567;[];[];False;2026-06-27;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/ka/aw/__/c10420p1226628567/i6265884305.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ka/aw/__/c10420p1226628567/i6265884385.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ka/aw/__/c10420p1226628567/i6265884338.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ka/aw/__/c10420p1226628567/i6265884411.jpg?pictureSize=W640
Casco deportes acuáticos;30.0;Palma de Mallorca, 07010;Vendo casco nuevo nunca usado para wingfoil, windsurf...;https://es.wallapop.com/item/casco-deportes-acuaticos-1183947211;[];[];False;2026-06-16;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/jk/w3/__/c10420p1183947211/i5979483740.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jk/w3/__/c10420p1183947211/i5979483800.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jk/w3/__/c10420p1183947211/i5979483821.jpg?pictureSize=W640
Tabla Wingfoil Ensis Rock'roll 77 LTS;265.0;Balos, 35110;"Tabla de wingfoil Ensis Rock'roll 77 LTS .incluye foot straps .

- Modelo: Rock'roll 77
- Volumen: 77 litros
- Longitud: 152 cm";https://es.wallapop.com/item/tabla-wingfoil-ensis-rock-roll-77-lts-1250190330;[77];[];False;2026-07-09;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/ko/bx/__/c10420p1250190330/i6420382514.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ko/bx/__/c10420p1250190330/i6420382534.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ko/bx/__/c10420p1250190330/i6420382548.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ko/bx/__/c10420p1250190330/i6420382585.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ko/bx/__/c10420p1250190330/i6420382603.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ko/bx/__/c10420p1250190330/i6420382642.jpg?pictureSize=W640
Tabla Windsurf Fanatic Grip 92L;650.0;Marbella, 29604;"Tabla de windsurf Fanatic Grip 92L en muy buen estado.

La he usado poco porque me pasé al wingfoil y lleva tiempo guardada en el trastero. Da pena tener una tabla así sin navegar, va increíble en el agua.

La reparación de la parte delantera ya estaba cuando la compré en Sportlink y quedó perfectamente hecha, sin problemas.

Incluye:

* trifin
* footstraps
* funda ION";https://es.wallapop.com/item/tabla-windsurf-fanatic-grip-92l-1264038821;[92];[];False;2026-06-16;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508131951.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508132060.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508131984.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508132023.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508131965.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508131975.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508132037.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508132053.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508132007.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/kq/__/c10420p1264038821/i6508131999.jpg?pictureSize=W640
Tabla Wingfoil Reedin Feather 138l;999.0;Tarifa, 11380;"Tabla de wingfoil Reedin Feather con 138 litros de volumen. Diseño moderno y ligero.

- Modelo: Feather
- Volumen: 138L
- Color: Blanco con detalles grises y negros
- Diseño con pads antideslizantes
- Incluye boardbag


[F-One Rocket, Duotone Sky, Gong Hipe, Naish Hover, Starboard TakeOff, North Seek, KT Ginxu, Cabrinha Code, Slingshot Outwit, Appletree Appleslice, Armstrong Forward, RRD Beluga, Tabou Pocket, Ensis RocknRoll, Sunova Aviator, Takoon Comet, Reedin Feather, Kalama E3, AK Phazer, Omen Flux, AFS Fire, Freedom Rubix, PPC Soar, Sabfoil Tormento, Eleveight Escape]";https://es.wallapop.com/item/tabla-wingfoil-reedin-feather-138l-1221921518;[138];[];False;2026-06-12;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/k7/i0/__/c10420p1221921518/i6235230543.jpg?pictureSize=W640
Artículo deportivo wingfoil duotone;2.0;Alzira, 46600;"Wingfoil Duotone Unit SLS de 5 metros, modelo 2025. Incluye las asas 55/31cm NUEVO NUNCA LLEGUE A USARLO SOLO HINCHADO EN LA ARENA ..LAS ASAS USADAS( EN OTRO WING3.5 COMO NUEVAS ). !!!!es el mejor wing del mercado tiene un lift brutal y un rango bestial !!!PvP 1409 € ( aún estaba la etiqueta del precio)

- Diseño moderno y ligero.
- Materiales de alta calidad para un rendimiento óptimo.";https://es.wallapop.com/item/wingfoil-duotone-unit-sls-5m-2025-con-asas-55-31-1173017291;[];[5];False;2025-09-20;Envío disponible;Reservado;https://cdn.wallapop.com/images/10420/je/dt/__/c10420p1173017291/i5943825081.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/dt/__/c10420p1173017291/i5943825093.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/dt/__/c10420p1173017291/i5943825111.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/dt/__/c10420p1173017291/i5943825173.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/dt/__/c10420p1173017291/i5943825491.jpg?pictureSize=W640
Traje neopreno LEGACY Talla 8-10 Surf, windsurf,;15.0;Aiguaviva, 17181;Todo ok. Kitesurf, wingfoil.;https://es.wallapop.com/item/traje-legacy-talla-8-10-1210179088;[];[];False;2026-06-24;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/k0/ic/__/c10420p1210179088/i6162569181.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k0/ic/__/c10420p1210179088/i6162569193.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k0/ic/__/c10420p1210179088/i6162569202.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k0/ic/__/c10420p1210179088/i6162569223.jpg?pictureSize=W640
Tabla Wing/SUP Foil Gong Zuma;265.0;Tolosa, 20400;"Tabla rigida Gong Zuma, versátil para wingfoil o SUP foil. Medidas en fotos. Tiene agujeros para straps

Tiene bastantes toques superficiales que se ven en las fotos pero no le ha entrado agua. Tapados con epoxy para reforzar la zona


Funda de transporte opcional +50 eur. Le va un poco grande";https://es.wallapop.com/item/tabla-wing-sup-foil-gong-zuma-1263305863;[];[];False;2026-07-09;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503617963.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503618024.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503618057.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503618081.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503618108.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503618129.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503618148.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/51/__/c10420p1263305863/i6503618164.jpg?pictureSize=W640
Velas Wingfoil Duotone Slick;600.0;Albons, 17136;"Conjunto de tres velas de wingfoil Duotone Slick en diferentes tamaños.
- 1x Mini Boom 125 silver
- Vela 1: Duotone Slick 4.0 buen estado 
- Vela 2: Duotone Slick 5.0 buen estado 
- Vela 3: Duotone Slick 6.5 en condiciones aceptables 
-1x Bomba de inchado manual duotone
Todas con bolsa de transporte,sin leash
NO VENDO SUELTO";https://es.wallapop.com/item/velas-wingfoil-duotone-slick-1280646174;[];[];False;2026-07-11;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116509.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116519.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116529.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116536.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116540.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116548.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116558.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l6/go/__/c10420p1280646174/i6611116567.jpg?pictureSize=W640
Fanatic Sky Wing 95L Tabla de Wingfoil;440.0;Barcelona, 08007;"Tabla de wingfoil Fanatic / Duotone Sky Wing de 95 litros. Fantastica para dar los primeros pasos en este deporte.

- Incluye asas de sujeción.
- Marca Fanatic.
- Reparación superficial en taller oficial.
- Área Barcelona, Girona, Tarragona";https://es.wallapop.com/item/fanatic-sky-wing-95l-tabla-de-wingfoil-1172775047;[95];[];False;2026-07-07;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/je/8n/__/c10420p1172775047/i5919126568.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/8n/__/c10420p1172775047/i5919126610.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/8n/__/c10420p1172775047/i5919126700.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/8n/__/c10420p1172775047/i5919126666.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/8n/__/c10420p1172775047/i5919126728.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/je/8n/__/c10420p1172775047/i5919126714.jpg?pictureSize=W640
Tabla WINGFOIL FONE S Rocket 48l, 4.10;225.0;Castellón de la Plana/Castelló de la Plana, 12001;"Tabla ROCKET WING S es una 4'10 de 48 litros, funciona muy bien, ideal para gente de nivel (no principiantes) que quiera bajar de litros, el pad está desgastado pero no afecta en la navegación, la tabla no tiene agujeros, reparaciones, zonas blandas o entradas de agua, está en su peso original,  si que tiene varias zonas con la pintura saltada o rozaduras, solo son daños estéticos, la tabla está dura por todas partes, una tabla para años y muy barata.

No incluye los foodstraps.



Wing, wingfoil, f-one, fone, duotone, kt";https://es.wallapop.com/item/tabla-wingfoil-fone-s-rocket-1086040783;[48];[];False;2026-06-27;Envío disponible;Reservado;https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104179.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104181.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104186.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104200.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104211.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104226.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104238.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104244.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104246.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hy/lm/__/c10420p1086040783/i6023104252.jpg?pictureSize=W640
