titulo;precio;ubicacion;descripcion;url;litros_detectados;ala_detectada;cumple_criterios;fecha_publicacion;envio;estado;imagen
Freewing Air V5 6 metros como nueva;1000.0;Sant Joan de Moró, 12130;"Vendo Freewing Air V5 de 6 metros.  Está igual que nueva, solo un uso de una hora, ni se ha mojado... 
Marca de Starboard y airush 
Modelo allround high performance 
Ala de wingfoil de rendimiento
Muy rígida y ligera, muy buena remada y empieza con muy poco viento, material en el paño code X que hace que no se deforme ni se estire, y si se hace un corte que no se alargue.. 
Botavara de carbono de una pieza, y varias ventanas para facilitar la visión.. 
Vendo por cambiar a modelo 2026
Incluye leash de cintura";https://es.wallapop.com/item/freewing-air-v5-6-metros-como-nueva-1168554805;[];[6];False;2026-05-25;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654530.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654537.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654550.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654560.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654577.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654603.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654615.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654629.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jb/q6/__/c10420p1168554805/i5894654643.jpg?pictureSize=W640
Ala Wingfoil 6m North;320.0;Las Rozas de Madrid, 28230;"Ala (Wing) North Nova de 6m2 en estado impecable. Una de las mejores velas del mercado por su construcción premium, rigidez y durabilidad. Diseño geométrico muy compacto: ofrece la potencia y el tiro de una 6m2 ideal para vientos flojos o térmicos, pero con una envergadura optimizada que evita que las puntas toquen el agua al aprender. Cuenta con asas rígidas/ergonómicas que reducen la fatiga en los brazos y dan un control milimétrico. Tejido crujiente, sin poros, ni pérdidas de presión en las válvulas. Incluye su mochila.

wingfoil surf kite nova vela foil duotone f one tabla ala";https://es.wallapop.com/item/vela-wing-nova-5-0-1274508074;[];[6];False;2026-06-28;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/l2/t4/__/c10420p1274508074/i6572180455.jpg?pictureSize=W640
Tabla wingfoil supfoil carbono Gong Cruzader 6'10;650.0;Alicante/Alacant, 03010;"Tabla de wingfoil y supfoil Gong Cruzader Diamond Pro 6,10 140L. Usada solo un día. Protegida toda la proa y los cantos con cinta transparente. Funda incluida a estrenar también. 

- Modelo: Cruzader Diamond Pro
- Tamaño: 6'10
- Material: Carbono";https://es.wallapop.com/item/tabla-wingfoil-supfoil-carbono-gong-cruzader-6-10-1264215933;[140];[];False;2026-06-13;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509196537.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509196621.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509196737.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509196838.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509196919.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509197008.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509205546.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509205561.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6509205574.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/oj/__/c10420p1264215933/i6526664522.jpg?pictureSize=W640
Vela Wingfoil Cabrinha Mantis 6m 2022;250.0;Majadahonda, 28222;"Vela de wingfoil Cabrinha Mantis de 6 metros.

- Modelo Mantis.
- Tamaño 6m.
- Marca Cabrinha.
- Diseño con número 9.";https://es.wallapop.com/item/vela-wingfoil-cabrinha-mantis-6m-2022-1271300565;[];[6];False;2026-06-10;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839130.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839142.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839148.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839153.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839156.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839159.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839165.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839171.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839178.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/wd/__/c10420p1271300565/i6553839186.jpg?pictureSize=W640
Pack Wingfoil GONG HIPE First 6'6 X-Over;975.0;Huelva, 21006;"Vendo pack completo de wingfoil GONG HIPE First X-Over, comprado para iniciarme y utilizado 3 veces.

Está en muy buen estado y se entrega completo, listo para entrar en el agua.

Incluye:

– Tabla hinchable GONG HIPE First 6'6, de 155 litros.
– Foil GONG X-Over completo.
– Mástil de aluminio de 85 cm.
– Wing GONG Plus.
– Leash de tabla y leash de wing.
– Bomba de inflado.
– Tornillería y accesorios de montaje.
– Bolsa original compartimentada para transportar todo el equipo.

Es un equipo ideal para iniciarse en el wingfoil, ya que la tabla tiene mucho volumen y ofrece una gran estabilidad antes de empezar a volar. Al ser hinchable";https://es.wallapop.com/item/pack-wingfoil-gong-hipe-first-6-6-x-over-1275682743;[155];[];False;2026-07-07;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/l3/ib/__/c10420p1275682743/i6578977759.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l3/ib/__/c10420p1275682743/i6578977771.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l3/ib/__/c10420p1275682743/i6578977777.jpg?pictureSize=W640
Wingfoil a estrenar Gofko Aero 6 metros;500.0;Poris de Abona, 38588;"nunca usado. Se entrega tal cual, con su mochila. 

Gofko Aero 6 meters

precio nueva hoy 699 euros.";https://es.wallapop.com/item/wingfoil-a-estrenar-gofko-aero-6-metros-935883893;[];[6];False;2026-05-20;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/fh/78/__/c10420p935883893/i3483556062.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/fh/78/__/c10420p935883893/i3483556112.jpg?pictureSize=W640
Wing Ozone Fly V1 6m Seminuevo;450.0;Alcúdia, 07400;"¡Oportunidad única! 🌊
Wing Ozone Fly V1 de 6 metros en muy buen estado (7/10). Perfecta para iniciarte o progresar en wingfoil sin complicaciones.

✨ Características:
• Medida: 6.0m - tamaño polivalente
• Color: Amarillo 
• Estado: Seminuevo 7/10
• Incluye: Leash modular de cintura + bolsa de transporte
• Bomba NO incluida

🎯 Por qué esta wing:
Diseño limpio y ligero de Ozone Kites, una de las marcas más fiables del mercado. Ultra compacta y fácil de manejar, ideal tanto para principiantes como riders intermedios. Su configuración de asas Power Handle permite un agarre intuitivo y control total.
📦 Incluye todo lo necesario";https://es.wallapop.com/item/wing-ozone-fly-v1-6m-seminuevo-1208932204;[];[6];False;2026-06-26;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6156630964.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6156630952.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6156630949.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6154582554.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6154582557.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6154582553.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6154582565.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jz/rm/__/c10420p1208932204/i6154582570.jpg?pictureSize=W640
Tabla wingfoil F-one Rocket Air 190L;540.0;Sueca, 46410;"Tabla polivalente, sirve para iniciarse en el mundo del wingfoil, para paddel sup, incluso he llegado a aprender surf con ella.

Tiene dos quillas para tener un mejor control, usada muy pocas veces ya que aprendi rapidamente a controlarlo.

Perfecta incluso en dias tranquilos para principiantes en el paddel sup.

Incluyo bolsa, su correspondiente inchador F-ONE, las dos quillas, el kit de reparacion nuevo ya que nunca lo he usado.

Para mas preguntar sin compromiso.";https://es.wallapop.com/item/tabla-wingfoil-f-one-rocket-air-190l-905541161;[190];[];False;2026-05-14;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/ez/4w/__/c10420p905541161/i3307223896.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ez/4w/__/c10420p905541161/i3307224066.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ez/4w/__/c10420p905541161/i3307224059.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ez/4w/__/c10420p905541161/i3307224075.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ez/4w/__/c10420p905541161/i3307224048.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ez/4w/__/c10420p905541161/i3307224041.jpg?pictureSize=W640
Equipo Wingfoil Completo;1230.0;Málaga, 29002;"equipo completo
tabla tabou 87litros con funda Ion con 2 footstraps
foil Takoon X-Glide 1450
ala nitro 6m2
ala nitro 4m2
regalo leash e inflador 
chaleco impacto 
la tabla tiene para vela de windsurf 
cambio por vespa 
PRECIO ALGO NEGOCIABLE";https://es.wallapop.com/item/equipo-wingfoil-completo-1061809108;[87];[4, 6];False;2026-05-23;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227398.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227426.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227495.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227477.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227459.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227488.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227498.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227438.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194227470.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/hk/69/__/c10420p1061809108/i5194228335.jpg?pictureSize=W640
Tabla GONG SUP Foil Biggy EPS Pro 8'6 145L;495.0;El Medano, 38612;"Tabla de SUP Foil GONG Biggy EPS Pro de 8'6 pies con 145 litros de volumen. Diseñada para foil y SUP.

Funda 50 euroi

Puede entregarse en cualquier aeropuerto importante de Europa a un precio fijo de 100 euros.

Armstrong Code Foils NoLimitz Axis Foils Sabfoil F-One Lift Foils Unifoil GoFoil Takuma Naish Cabrinha North Foils Slingshot downwind wingfoil supfoil";https://es.wallapop.com/item/tabla-gong-sup-foil-biggy-eps-pro-8-6-145l-1259794710;[145];[];False;2026-07-04;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/ku/1r/__/c10420p1259794710/i6481598916.jpg?pictureSize=W640
¡Oportunidad alas wingfoil!;450.0;Sevilla, 41005;Con las alas de 4.0 , 5.0 y 6.0 metros, garantizaras la navegación. Ver mi perfil para mas fotos;https://es.wallapop.com/item/oportunidad-alas-wingfoil-1269290825;[];[4, 6];False;2026-07-10;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kz/pb/__/c10420p1269290825/i6541321955.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kz/pb/__/c10420p1269290825/i6541321972.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kz/pb/__/c10420p1269290825/i6541321988.jpg?pictureSize=W640
PACK WINGFOIL MARCA NAISH (tabla, foil y vela);1850.0;Barcelona, 08003;"PACK APTO INICIACIÓN 
Liquidación de stock!! Dos packs disponibles!!
~Pack de wingfoil~
Incluye:
1 tabla entre 85 litros y 140L
1 foil 1750 de ala frontal
1 Mastil 75cm + fuselaje
Funda transporte del foil
1 vela con funda de transporte (medida entre 4 y 5,5m)

Material muy nuevo y en bien cuidado
Opción de FOIL sin uso (sin abrir) por 100€ más.
6 meses de garantía incluidos

No incluye: leash para la tabla, inflador, casco y chaleco


🏠 Pasate por nuestra escuela a verl
📦 Envíos gratuitos
📲 Contáctanos sin compromiso:
💬 Escríbenos por WhatsApp o llámanos al +34 605684056 📞
📍Psg. Joan Borbo, 78, Local 7 / La Barceloneta";https://es.wallapop.com/item/pack-wingfoil-tabla-foil-y-vela-983518010;[85, 140];[5.5];False;2026-03-28;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/g9/k7/__/c10420p983518010/i4762324071.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/g9/k7/__/c10420p983518010/i4762324132.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/g9/k7/__/c10420p983518010/i4762324171.jpg?pictureSize=W640
